Title,Status,Priority,Sprint,Estimate,Labels
"Setup inicial (Docker, Django, React)",Done,High,Sprint 1-5,5d,"infrastructure,setup"
"Autenticação Keycloak",Done,High,Sprint 1-5,3d,"security,auth"
"Patient CRUD completo",Done,High,Sprint 1-5,5d,"fhir,patient"
"Encounter management",Done,High,Sprint 6-10,3d,"fhir,encounter"
"Observation (Sinais Vitais)",Done,Medium,Sprint 6-10,2d,"fhir,observation"
"Condition (Diagnósticos)",Done,Medium,Sprint 6-10,2d,"fhir,condition"
"MedicationRequest (Prescrições)",Done,Medium,Sprint 6-10,2d,"fhir,medication"
"Agendamentos (Appointment/Schedule/Slot)",Done,High,Sprint 6-10,4d,"fhir,scheduling"
"Documentos Clínicos (Composition + PDF)",Done,High,Sprint 8,3d,"fhir,documents"
"Dashboard & Analytics",Done,High,Sprint 9,4d,"analytics,dashboard"
"Portal do Paciente",Done,Medium,Sprint 5,3d,"patient-portal"
"Módulo Financeiro",Done,Medium,Sprint 6,4d,"financial"
"Imunização",Done,Low,Sprint 10,2d,"fhir,immunization"
"Resultados de Exames",Done,Medium,Sprint 10,2d,"fhir,diagnostics"
"Auditoria (Provenance)",Done,High,Sprint 11,2d,"fhir,audit,security"
"Exportação ($everything)",Done,Medium,Sprint 11,2d,"fhir,export"
"IA - Resumo Clínico",Done,Low,Sprint 12,3d,"ai,ml"
"IA - Interações Medicamentosas",Done,Medium,Sprint 12,2d,"ai,ml,safety"
"Chat/Mensagens (Mattermost)",Done,Low,Sprint 15,3d,"communication"
"Visitantes (RelatedPerson)",Done,Low,Sprint 14,2d,"fhir,visitors"
"Gestão de Leitos - Hierarquia",Done,High,Sprint 16,3d,"fhir,ipd,location"
"Gestão de Leitos - Admissão/Alta",Done,High,Sprint 16,3d,"fhir,ipd"
"Gestão de Leitos - Transferência",Done,High,Sprint 17,2d,"fhir,ipd"
"Gestão de Leitos - Bloqueio/Desbloqueio",Done,Medium,Sprint 17,1d,"fhir,ipd"
"Gestão de Leitos - Histórico",Done,Medium,Sprint 17,2d,"fhir,ipd"
"Gestão de Leitos - Limpeza",Done,Medium,Sprint 16,1d,"fhir,ipd"
"Practitioner API (Backend)",Done,High,Sprint 18,2d,"fhir,practitioner,api"
"PractitionerRole API",Done,High,Sprint 18,1d,"fhir,practitioner,api"
"Identificadores Brasileiros (CPF, CRM)",Done,High,Sprint 18,1d,"fhir,localization"
"FHIR R4 Compliance Audit",Done,High,Sprint 18,2d,"fhir,qa,documentation"
"Fix Card component TypeScript",Done,Low,Sprint 18,0.5d,"frontend,bugfix"
"Documentação atualizada",Done,Medium,Sprint 18,1d,"documentation"
"PractitionerWorkspace Component",Done,High,Sprint 19,4h,"frontend,practitioner"
"PractitionerForm Component",Done,High,Sprint 19,3h,"frontend,practitioner,forms"
"PractitionerCard Component",Done,Medium,Sprint 19,2h,"frontend,practitioner"
"PractitionerDetail Component",Done,Medium,Sprint 19,3h,"frontend,practitioner"
"usePractitioners Hook",Done,High,Sprint 19,2h,"frontend,hooks,api"
"Navegação - Adicionar Profissionais ao Menu",Done,Medium,Sprint 19,1h,"frontend,navigation"
"Tipos TypeScript - Practitioner",Done,Medium,Sprint 19,1h,"frontend,typescript"
"Testes - Practitioner Components",Done,High,Sprint 19,4h,"testing,frontend"
"Backend: Patient Search Parameters",Done,High,Sprint 20,3h,"fhir,search,backend"
"Backend: Encounter Search Parameters",Done,High,Sprint 20,2h,"fhir,search,backend"
"Backend: Observation Search Parameters",Done,Medium,Sprint 20,2h,"fhir,search,backend"
"Backend: Condition Search Parameters",Done,Medium,Sprint 20,2h,"fhir,search,backend"
"Backend: Practitioner Search Parameters",Done,Medium,Sprint 20,2h,"fhir,search,backend"
"Frontend: SearchBar Component",Done,High,Sprint 20,3h,"frontend,search"
"Frontend: Advanced Filters",Done,Medium,Sprint 20,4h,"frontend,search"
"Frontend: Paginated Results",Done,High,Sprint 20,2h,"frontend,search"
"Search Performance - Cache",Done,Medium,Sprint 20,2h,"performance,backend"
"Search Performance - Debounce",Done,Low,Sprint 20,1h,"performance,frontend"
"RxNorm Integration",Done,Medium,Sprint 21,4h,"fhir,terminology,medication"
"RxNorm Autocomplete",Done,Medium,Sprint 21,3h,"frontend,medication"
"ICD-10 Support",Done,Medium,Sprint 21,3h,"fhir,terminology,diagnosis"
"ICD-10 ↔ SNOMED Mapping",Done,Low,Sprint 21,4h,"fhir,terminology"
"TUSS (Tabela SUS)",Done,Low,Sprint 21,3h,"fhir,terminology,brazil"
"$export Operation - Patient Level",Done,High,Sprint 22,4h,"fhir,export,interop"
"$export Operation - Group Level",Done,Medium,Sprint 22,3h,"fhir,export,interop"
"$export Operation - System Level",Done,Medium,Sprint 22,4h,"fhir,export,interop"
"$export - NDJSON Format",Done,High,Sprint 22,2h,"fhir,export"
"$export - Async Processing",Done,High,Sprint 22,4h,"fhir,export,async"
"$import Operation",Done,Medium,Sprint 22,5h,"fhir,import,interop"
"SMART on FHIR - OAuth2 Scopes",Done,Medium,Sprint 22,6h,"fhir,security,interop"
"Backend Unit Tests (pytest)",Done,High,Sprint 23,8h,"testing,backend,qa"
"Backend Integration Tests",Done,High,Sprint 23,6h,"testing,backend,qa"
"Backend API Tests",Done,High,Sprint 23,4h,"testing,backend,qa"
"Frontend Component Tests (Jest)",Done,High,Sprint 23,8h,"testing,frontend,qa"
"Frontend Integration Tests",Done,Medium,Sprint 23,4h,"testing,frontend,qa"
"E2E Tests (Playwright)",Done,High,Sprint 23,8h,"testing,e2e,qa"
"CI/CD - GitHub Actions",Done,High,Sprint 23,4h,"devops,ci-cd"
"CI/CD - Code Quality Checks",Done,Medium,Sprint 23,2h,"devops,ci-cd,qa"
"Consent Resource - Backend",Done,High,Sprint 24,4h,"fhir,consent,lgpd"
"Consent Resource - Frontend",Done,High,Sprint 24,4h,"frontend,consent,lgpd"
"Privacy Controls - Data Access Logging",Done,High,Sprint 24,3h,"security,lgpd,audit"
"Privacy Controls - Data Download (LGPD Art. 18)",Done,High,Sprint 24,4h,"security,lgpd"
"Privacy Controls - Data Deletion",Done,High,Sprint 24,3h,"security,lgpd"
"AuditEvent Enhancement",Done,Medium,Sprint 24,4h,"fhir,audit,security"
"Database Optimization - Indexing",Done,High,Sprint 25,4h,"performance,database"
"Database Optimization - Query Optimization",Done,High,Sprint 25,4h,"performance,database"
"Redis Integration",Done,Medium,Sprint 25,6h,"performance,cache"
"Frontend - Code Splitting",Done,Medium,Sprint 25,3h,"performance,frontend"
"Frontend - Lazy Loading",Done,Medium,Sprint 25,2h,"performance,frontend"
"Frontend - Image Optimization",Done,Low,Sprint 25,2h,"performance,frontend"
"Mobile App - React Native Setup",Done,Low,Sprint 26,2d,"mobile,setup"
"Mobile App - Patient Portal",Done,Low,Sprint 26,5d,"mobile,patient-portal"
"Mobile App - Appointment Scheduling",Done,Low,Sprint 26,3d,"mobile,scheduling"
"Mobile App - Push Notifications",Done,Low,Sprint 26,2d,"mobile,notifications"
